PRNumber,PRItem,material,description,quantity,unit,departmentCode,plant,purchasingGroup,createdBy,createdDate,approvalDate,status,approvalStatus,slaDays
10000001,00010,LAPTOP01,Laptop Computer,10,EA,IT,P001,PG01,USER01,2026-08-01,2026-08-02,Approved,Approved,3
10000002,00010,MONITOR01,24 Inch Monitor,15,EA,IT,P001,PG01,USER02,2026-08-02,2026-08-04,Approved,Approved,3
10000003,00010,SOFTWARE01,Enterprise Software License,5,EA,FIN,P001,PG02,USER03,2026-08-01,,Pending,Pending,3
10000004,00010,CHAIR01,Office Chair,25,EA,HR,P002,PG03,USER04,2026-08-03,,Pending,Pending,4
10000005,00010,SERVER01,Application Server,2,EA,IT,P001,PG01,USER05,2026-07-25,2026-07-31,Approved,Approved,3
10000006,00010,DESK01,Office Desk,20,EA,OPS,P003,PG04,USER06,2026-07-28,,Pending,Pending,5
10000007,00010,PRINTER01,Network Printer,5,EA,FIN,P001,PG02,USER07,2026-07-27,,Pending,Pending,3
10000008,00010,ROUTER01,Network Router,10,EA,IT,P001,PG01,USER08,2026-08-04,,Pending,Pending,3
10000009,00010,TRAINING01,Employee Training,30,EA,HR,P002,PG03,USER09,2026-07-30,2026-08-02,Approved,Approved,4
10000010,00010,MACHINE01,Production Machine,1,EA,OPS,P003,PG04,USER10,2026-07-20,,Pending,Pending,5
10000011,00010,PHONE01,Corporate Mobile Phone,20,EA,IT,P001,PG01,USER11,2026-08-05,,Pending,Pending,3
10000012,00010,CONSULT01,Consulting Services,1,EA,FIN,P001,PG02,USER12,2026-07-24,,Pending,Pending,3
10000013,00010,DESKTOP01,Desktop Computer,12,EA,IT,P001,PG01,USER13,2026-07-29,,Pending,Pending,3
10000014,00010,STATIONERY01,Office Stationery,100,EA,HR,P002,PG03,USER14,2026-08-06,,Pending,Pending,4
10000015,00010,EQUIPMENT01,Maintenance Equipment,8,EA,OPS,P003,PG04,USER15,2026-07-26,2026-07-30,Approved,Approved,5
