ID,createdAt,createdBy,modifiedAt,modifiedBy,PRNumber,Item,MaterialDescription,Department,DepartmentCode,CreatedDate,ApprovalDate,ExpectedApprovalDate,SLAInDays,Priority,Status,EstimatedCost,Currency,Vendor,PONumber,PRAging,SLAStatus,ApprovalCycleTime,DelayDays,DelayPercentage,RiskScore,RiskLevel,RiskCategory
11111111-1111-1111-1111-111111111111,2026-07-01T09:00:00Z,system,2026-07-01T09:00:00Z,system,PR1001,10,Laptop Computers,IT,IT,2026-07-01,2026-07-04,2026-07-05,5,High,Approved,85000,INR,ABC Technologies,PO1001,0,WITHIN_SLA,3,0,0,0,LOW,Within SLA
22222222-2222-2222-2222-222222222222,2026-07-03T09:00:00Z,system,2026-07-03T09:00:00Z,system,PR1002,10,Office Chairs,HR,HR,2026-07-03,,2026-07-07,5,Medium,Pending,45000,INR,Office Solutions,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
33333333-3333-3333-3333-333333333333,2026-06-20T09:00:00Z,system,2026-06-20T09:00:00Z,system,PR1003,10,Server Equipment,IT,IT,2026-06-20,,2026-06-24,4,Critical,Pending,250000,INR,Tech Suppliers,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
44444444-4444-4444-4444-444444444444,2026-07-15T09:00:00Z,system,2026-07-15T09:00:00Z,system,PR1004,10,Safety Equipment,Operations,OPS,2026-07-15,2026-07-23,2026-07-20,5,High,Approved,65000,INR,Safety Supplies,PO1004,0,WITHIN_SLA,8,3,60,0,LOW,Within SLA
55555555-5555-5555-5555-555555555555,2026-07-20T09:00:00Z,system,2026-07-20T09:00:00Z,system,PR1005,10,Software Licenses,Finance,FIN,2026-07-20,,2026-07-24,5,Critical,Pending,120000,INR,Software Vendor,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
66666666-6666-6666-6666-666666666666,2026-07-25T09:00:00Z,system,2026-07-25T09:00:00Z,system,PR1006,10,Raw Materials,Production,PROD,2026-07-25,2026-08-01,2026-07-30,5,High,Approved,175000,INR,Industrial Supplies,PO1006,0,WITHIN_SLA,7,2,40,0,LOW,Within SLA
77777777-7777-7777-7777-777777777777,2026-07-28T09:00:00Z,system,2026-07-28T09:00:00Z,system,PR1007,10,Electrical Components,Engineering,ENG,2026-07-28,,2026-08-02,5,Medium,Pending,95000,INR,Electrical Suppliers,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
88888888-8888-8888-8888-888888888888,2026-06-25T09:00:00Z,system,2026-06-25T09:00:00Z,system,PR1008,10,Network Hardware,IT,IT,2026-06-25,,2026-06-30,5,Critical,Pending,210000,INR,Network Solutions,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
99999999-9999-9999-9999-999999999999,2026-07-10T09:00:00Z,system,2026-07-10T09:00:00Z,system,PR1009,10,Consulting Services,Finance,FIN,2026-07-10,2026-07-18,2026-07-15,5,High,Approved,150000,INR,Consulting Partner,PO1009,0,WITHIN_SLA,8,3,60,0,LOW,Within SLA
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-07-30T09:00:00Z,system,2026-07-30T09:00:00Z,system,PR1010,10,Warehouse Equipment,Operations,OPS,2026-07-30,,2026-08-04,5,Low,Pending,70000,INR,Warehouse Suppliers,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-07-18T09:00:00Z,system,2026-07-18T09:00:00Z,system,PR1011,10,Database License,IT,IT,2026-07-18,,2026-07-23,5,Critical,Pending,190000,INR,Database Vendor,,0,WITHIN_SLA,0,0,0,0,LOW,Within SLA
cccccccc-cccc-cccc-cccc-cccccccccccc,2026-07-05T09:00:00Z,system,2026-07-05T09:00:00Z,system,PR1012,10,Training Services,HR,HR,2026-07-05,2026-07-14,2026-07-10,5,Medium,Approved,55000,INR,Training Partner,PO1012,0,WITHIN_SLA,9,4,80,0,LOW,Within SLA
